"sample","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-E1-5318-01A-01R-1470-07",0.0668742640301254,0,0.0283138527699746,0,0,0.109278427305179,0,0,0.0392016640260906,0.192353988712742,0.563977803155888
"TCGA-E1-5319-01A-01R-1896-07",0.0427380790024978,0,0.0185588870622382,0.101495272112191,0,0.115572361874071,0,0,0,0.164416150613277,0.557219249335726
"TCGA-E1-A7YO-01A-11R-A34F-07",0.0567894740284922,0,0,0.127795699236971,0,0.148628508214109,0,0,0.0210206447833999,0.123326374049948,0.52243929968708
"TCGA-EZ-7264-01A-11R-2027-07",0.0645910522053258,0,0,0.108321095246366,0,0.126573181400508,0,0,0.0111831302728089,0.0806794140267819,0.60865212684821
"TCGA-F6-A8O3-01A-11R-A36H-07",0.0508364899207817,0,0,0.0353593747532594,0,0.142667145917086,0,0,0.0246393419599512,0.198155899865279,0.548341747583643
"TCGA-FG-7634-01A-11R-2090-07",0.0487506226779574,0,0.0408238073169893,0.064099434802326,0,0.142176003796273,0,0,0.010668771207689,0.202744618715836,0.490736741482929
"TCGA-FG-7638-01B-12R-2090-07",0.0322065256079924,0,0,0.0695350836043362,0,0.201335470915049,0,0,0,0.258639998237184,0.438282921635438
"TCGA-FG-7641-01B-11R-2256-07",0.0631800427231346,0,0,0.230634932628088,0,0.178960045004417,0,0,0.00557535981894218,0.0973591858802328,0.424290433945186
"TCGA-FG-8186-01A-11R-2256-07",0.0352911841822265,0,0,0.178342013859163,0,0.172124759563576,0,0,0,0.164162906628842,0.450079135766193
"TCGA-FG-8187-01A-11R-2256-07",0.0299698589368273,0,0,0.158919146042009,0,0.197179757995298,0,0,0,0.131893529817567,0.482037707208298
"TCGA-FG-A60K-01A-11R-A29R-07",0.0372966321558413,0,0,0.0654145074346846,0,0.20097648611142,0,0,0,0.186284352914135,0.510028021383919
"TCGA-FG-A710-01A-12R-A33Z-07",0.0425129386372578,0.0090845283092615,0.0171189806153462,0.129215533225922,0,0.15696509185233,0,0,0.00178162404127433,0.190139802921559,0.453181500397049
