"","Myeloid","Glioma","Oligo","Pericytes","TCells","Endo"
"TCGA-HT-7480-01A-11R-2090-07",0.00154148707383865,0.686445894383511,0.213107451401123,0.0259081996409816,1.66267664150061e-08,0.0729969508737794
"TCGA-HT-7481-01A-11R-2027-07",0.00143747548455096,0.126966861775701,0.797473419779913,0.00964764555120068,0.000713900604780949,0.0637606968038526
"TCGA-HT-7605-01A-11R-2090-07",0.00263752494817068,0.305754523474442,0.560113710601253,0.0677523752167369,7.37757680105144e-08,0.0637417919836301
"TCGA-HT-7607-01A-11R-2090-07",0.00476063255600999,0.334695713342182,0.551888032619382,0.0334706340646083,0.00021054531322414,0.0749744421045932
"TCGA-HT-7616-01A-11R-2256-07",0.054903074601916,0.427762458836627,0.255189870645272,0.0600986699273463,5.77377705253547e-06,0.202040152211785
"TCGA-HT-7620-01A-11R-2256-07",8.03258178184913e-08,4.94579524388008e-05,0.946144607915146,0.00632660179649495,1.24292822290253e-07,0.0474791277172802
"TCGA-HT-7677-01A-11R-2256-07",0.00150117364472533,0.674935440093132,0.258334804542035,0.00875055361510519,4.4732938423543e-09,0.0564780236317088
"TCGA-HT-7681-01A-11R-2403-07",0.0251408108170084,0.489216364136611,0.319681028547912,0.0848936933919691,0.00107552414608092,0.0799925789604187
"TCGA-HT-7687-01A-11R-2256-07",0.00207289281336594,0.769009454411291,0.140714844809004,0.0190526809999723,0.000663003130545205,0.0684871238358216
"TCGA-HT-7692-01A-12R-2256-07",0.0185814877846571,0.750582193506146,0.139688693150139,0.0283784595756326,6.14339126256926e-09,0.0627691598400341
"TCGA-HT-7694-01A-11R-2256-07",0.00180004748318479,0.252021071899415,0.677914031836772,0.00418550725140858,3.26256132406474e-08,0.0640793089036059
"TCGA-HT-7695-01A-11R-2256-07",0.00197457800487796,0.549635576189359,0.375702378861072,0.0158506988662064,3.48029363662307e-08,0.0568367332755484
"TCGA-HT-7856-01A-11R-2403-07",0.00242623082995365,0.266231409353241,0.641658281112443,0.0113666841967321,9.28718265792582e-07,0.0783164657893645
"TCGA-HT-7874-01A-11R-2403-07",0.00151730936189067,0.34302124607734,0.56335209894921,0.0244422376110666,7.59823200374059e-09,0.0676671004022609
"TCGA-HT-7875-01A-11R-2403-07",0.00134788295722701,0.717715931504832,0.132407230996059,0.0749213479489722,6.89960560443385e-08,0.0736075375968532
"TCGA-HT-7877-01A-11R-2403-07",0.00188551880287778,0.441334826880694,0.413064659163258,0.0455554023235469,0.0002312835835427,0.0979283092460811
"TCGA-HT-8010-01A-11R-2403-07",0.00325943755311535,0.334527244977362,0.443789824730022,0.109545478049581,5.72671978863323e-07,0.10887744201794
"TCGA-HT-8105-01A-11R-2404-07",0.00702413079934795,0.686431450530825,0.124657737677179,0.0314741139190432,0.000310361323821049,0.150102205749784
"TCGA-HT-8109-01A-11R-2404-07",0.00356833105271811,0.40207031779848,0.518500551772936,0.0113790554490281,3.01131600369654e-07,0.0644814427952379
"TCGA-HT-A4DV-01A-11R-A26U-07",0.00482703900616572,0.0106821082008328,0.919785571629508,0.00693090428500574,0.000565891710944188,0.0572084851675433
"TCGA-HT-A5R9-01A-11R-A28M-07",6.63575276747099e-07,0.818467191702538,0.0142397415444789,0.0186721406615482,0.00289757245489835,0.14572269006126
