"sample","h-microglia","Glioma","i-microglia","Oligo","Pericytes","Myeloid","s-mac 1","AP-microglia","MDSC","a-microglia","Endo","CD8 TCells","TCells","s-mac 2","Proliferating","otherCells"
"TCGA-DU-A76R-01A-11R-A32Q-07",1.19275885610374e-07,0.226445119816232,5.062513028245e-05,0.0673963580530138,0.160454558985179,7.52582776217306e-05,7.27323931210549e-05,1.6371832405537e-05,0.000113802896638476,0.000138925159475105,0.0114144366899659,2.34983111589044e-08,0.00114194582601051,1.36309422423192e-09,8.23450188886256e-05,0.532597375783874
"TCGA-DU-A7T6-01A-11R-A33Z-07",8.3677271703132e-06,0.418010147811409,0.000113808926018596,0.101683415652729,0.0575992036096713,2.72693393720918e-08,0.000135103953704927,9.06703642581759e-05,1.04429726970113e-05,0.000185849095143355,0.000458297480796072,2.26504549219872e-06,0.000126971286222967,3.93487580037644e-05,3.52639399022929e-05,0.421500816107442
"TCGA-E1-5318-01A-01R-1470-07",9.51958543408954e-05,0.681280568479229,0.000654777350990103,7.10108433189249e-05,0.00884676560798194,1.55088903291411e-05,0.000641635004111437,0.000106371247525191,0.000666920810848837,0.000101366895340426,0.00173008875531298,1.28969579983073e-06,0.0102378599537248,1.01409677736582e-05,0.000186785867468526,0.295353713775904
"TCGA-E1-5319-01A-01R-1896-07",0.000113201056082418,0.138119328223704,1.89162042449732e-06,0.308134136716495,0.142583542476138,0.000120868126015869,2.82809657851097e-05,1.50904921720632e-08,4.77556594374946e-05,5.42945119872979e-05,0.00265842698031769,5.36755316821154e-05,0.000215800564835843,3.02567377137524e-05,7.18223240817143e-06,0.40783134350648
"TCGA-E1-A7YO-01A-11R-A34F-07",4.13663535647422e-06,0.35001083146137,2.87158516334449e-05,0.0202167398209848,0.116645850697972,4.27432564096121e-05,6.12636936829219e-05,2.38198112963389e-05,5.01617863814211e-08,0.000358498725666374,0.0111364129399921,6.99310214664524e-07,0.000281012575402105,7.0700876844966e-05,6.63159016218512e-05,0.501052208279765
"TCGA-EZ-7264-01A-11R-2027-07",0.000299178830726826,0.456223163713358,5.61495492727097e-05,0.0626256902499883,0.020011224853696,8.82738240280338e-06,8.36400965895411e-05,6.31902989574849e-07,0.000253187822055538,3.81351867583656e-05,1.10809185409947e-05,2.23860128799903e-05,0.000463577910240216,5.13520860563757e-05,4.90520913330949e-06,0.459846868275312
"TCGA-F6-A8O3-01A-11R-A36H-07",0.000279666318842127,0.537999063405699,4.78111984472557e-05,7.61045861381817e-05,0.0397986406903176,3.39277210211264e-05,5.14194545866385e-05,0.000466450392469804,1.52416875892453e-05,6.78248009067988e-05,8.36556187973982e-06,1.8518519522723e-05,0.000862396504172953,6.64196519126996e-05,4.22489592843496e-06,0.420203924610566
"TCGA-FG-7634-01A-11R-2090-07",4.15146280660751e-05,0.246309533654887,3.95863020011414e-06,0.218686203168473,0.082739349904651,0.000128019111069543,3.00003463435998e-05,6.4532985360181e-05,3.13753566482378e-06,3.21554320848748e-06,4.91487504390857e-05,2.1851404809641e-08,0.00162716784412831,0.000182816557798424,2.38537002220653e-05,0.450107525788083
"TCGA-FG-7638-01B-12R-2090-07",2.2180411248852e-05,0.221242176555428,0.000122871052883515,0.12758284600005,0.227248283535919,0.000231023931143363,7.7165042325172e-06,0.00010162369257151,0.000227715956139615,0.000519530611350686,0.000474008343332686,0.000184627334156022,0.00046122400876261,0.000186300396649806,3.90044441314491e-06,0.421383971221719
"TCGA-FG-7641-01B-11R-2256-07",5.48511147265785e-08,0.152873505099695,4.85523296525433e-05,0.187735418059978,0.137972334010076,0.000387568824483706,3.42510278021307e-05,2.56695252619946e-05,8.21855069319458e-05,0.000434149180887811,6.53686557276086e-05,2.44633078525734e-05,0.000199877671418423,0.000184398645431325,0.000156783150684892,0.519775420153002
"TCGA-FG-8186-01A-11R-2256-07",1.02611445262669e-05,0.234724265807593,3.75158451657988e-08,0.10460674582265,0.158897098230136,2.26860596794309e-05,7.57634642384457e-06,6.97048708830613e-08,9.7827824966181e-05,8.28152691767107e-05,0.00535507183996317,1.66049785360272e-05,0.000573295730468384,8.17435315198119e-07,5.23380141846258e-06,0.495599592488432
"TCGA-FG-8187-01A-11R-2256-07",4.80622128312316e-05,5.13633010948979e-05,4.58526253657344e-06,0.528826201117423,0.0280880804598972,0.00036727135943146,1.07388713177061e-05,2.40911156036539e-07,8.05825859958362e-05,0.000195183785140629,0.00054975323820561,6.85305888991083e-05,0.00253716031247838,0.00132705934278745,0.000180311040196582,0.437664875610608
"TCGA-FG-A60K-01A-11R-A29R-07",9.83879309916156e-06,0.35409572241546,5.37355416485139e-05,0.0718939047090192,0.129328066320435,9.52027232504881e-05,2.31892172624132e-05,1.59254702610022e-08,0.000224843894770664,7.24315186999548e-05,7.58656180517275e-05,7.2243004667326e-05,0.00642354130077389,0.000127383012760949,0.000678482808789549,0.436825533195841
"TCGA-FG-A710-01A-12R-A33Z-07",1.30539288944132e-05,0.347359754416824,1.99435213009137e-05,0.052993484389592,0.148647790683148,2.17590220726032e-06,6.38165534611157e-05,0.000159097023421992,0.0186078551803536,3.26996500980047e-05,0.000163953228715499,1.75701217212175e-06,1.82804484439815e-05,9.32851663332907e-07,2.65915375284353e-05,0.431888813672175
"TCGA-FG-A713-01A-11R-A32Q-07",2.21858807467855e-05,0.0998137400301713,8.46145849503476e-05,0.236121553347365,0.0873606528529034,1.52160308878817e-05,1.2949512230428e-05,9.95162385783775e-05,0.000299184371767576,7.5431802533804e-05,5.37895863271158e-05,2.52367476567454e-08,0.00264485148517907,2.75031926722761e-05,4.37815049825681e-06,0.573364407696441
"TCGA-HT-7480-01A-11R-2090-07",0.000253796733228672,0.376276868711444,0.000466387206595535,0.0596468704211205,0.097053885241943,2.33487402006521e-05,4.96826190826391e-05,2.5096581653509e-06,8.69320876596366e-05,0.000112669119093177,9.77189381590294e-05,9.73396593904133e-08,0.00217775355110145,2.14948069036084e-05,4.94464499280298e-08,0.463729935379194
"TCGA-HT-7481-01A-11R-2027-07",0.000120465006487363,0.0469442898799664,0.000117053621954857,0.436439103664684,0.0465075084229705,9.89026034979488e-05,0.000292445272548275,7.77532926524055e-05,2.05814191196591e-05,0.000125469015585367,1.32810673860389e-05,3.15753624466296e-07,0.00393300744304487,2.32743022728043e-05,6.41755993168088e-05,0.465222373634888
"TCGA-HT-7605-01A-11R-2090-07",0.000292256866888657,0.0731764362082447,5.52492536038583e-06,0.267191366446472,0.148240512160109,0.000143101188111889,2.85561578828578e-07,0.00119390274030198,7.31939275406064e-05,0.000396539467303086,7.58772660303412e-05,4.32420433775519e-05,0.00120530872975758,0.000222588303002206,7.26703932945188e-05,0.507667193772626
"TCGA-HT-7607-01A-11R-2090-07",2.81906129988083e-05,0.0993260926742538,8.67171615301238e-05,0.190467224390382,0.128054626608598,9.4248074014782e-05,0.000116615587880343,9.54199708323491e-05,5.13410226887594e-05,0.000257254992304003,0.0005021097281204,7.44465921254437e-05,0.000177068594785955,2.45624663663514e-06,1.73363930848533e-05,0.580648851349764
"TCGA-HT-7616-01A-11R-2256-07",3.47405660355705e-09,0.133047816109808,2.38610053212344e-06,0.120308971784215,0.136484458684613,6.01383290955696e-06,0.000456734395771424,1.24493860369641e-05,1.58601252520331e-05,9.93950761392018e-06,0.0819957094560482,9.15952611785729e-06,0.000587247688029235,2.72489961550593e-05,9.49646915095433e-06,0.52702650446369
"TCGA-HT-7620-01A-11R-2256-07",0.00102838815772725,4.06248348967551e-05,4.05570882611358e-06,0.606452919373365,4.43220825019619e-05,0.000951730617200015,1.32268739255328e-05,0.000999416787407466,0.00250658244244535,0.000164975272866382,0.000309647056001902,0.0013425170219372,0.00409188619100367,0.000382974794436736,0.00234237974996722,0.379324353035491
"TCGA-HT-7677-01A-11R-2256-07",0.000256506426139141,0.362439255761355,0.000127609908746586,0.114937949269214,0.0590210700847706,5.84365319412583e-06,4.03549351084948e-07,0.000600698473677324,0.000416093415652588,0.000259416728033483,1.45132510342368e-05,8.18699343630282e-05,0.000188987148881356,0.000393191362123402,9.72939391123911e-07,0.461255618094073
"TCGA-HT-7681-01A-11R-2403-07",1.26243965940608e-05,0.220254247010614,1.25562258762579e-08,0.117570112501737,0.189893759309448,4.78694724281846e-06,6.55108668986067e-05,7.05086082028691e-05,5.18612694564412e-06,8.06853595585505e-05,0.000235947234482462,1.02809293699213e-06,0.00142841541589543,1.45765730701696e-05,6.19516382136737e-05,0.470300647361933
"TCGA-HT-7687-01A-11R-2256-07",0.000420088440453741,0.458452683834887,5.487067149145e-06,0.0583363649390465,0.0051062811752802,0.000438926114937729,0.000465203551176138,1.79233517755794e-06,1.83196754763932e-06,0.000599787981624267,4.49368698513172e-05,0.000695845002343453,0.00169978512419091,0.000403160450303845,0.000248120653106021,0.473079704492925
"TCGA-HT-7692-01A-12R-2256-07",0.000259836375102447,0.367640725447167,1.30874564929712e-06,0.0787991477471098,0.119052427045997,0.000118704185463113,0.000183174597729582,0.000113069683296007,7.66670725636393e-06,0.000291554195940776,0.000104405838682802,4.06604763119525e-05,0.000138037073117747,0.000123726386915274,1.28549455166258e-05,0.433112700548744
"TCGA-HT-7694-01A-11R-2256-07",7.32899742574871e-08,0.0754585956192434,0.000118360119535216,0.235308200457328,0.111666029860707,7.93869204292426e-06,0.000152800438415999,2.35857287933922e-05,1.56289843573353e-06,0.000357183965518136,0.000350981504752734,9.50969145970385e-05,0.00197760060618246,0.000339269070226051,0.000185884907457171,0.573956835926791
"TCGA-HT-7695-01A-11R-2256-07",1.32174367933742e-05,0.206849564995972,9.12892265591698e-05,0.159194072770622,0.105394297708174,1.34078449322618e-06,0.000152433704156796,3.24811024120871e-05,3.41995047496863e-05,1.82515652873374e-07,8.59979287270281e-05,1.20539593309716e-05,0.0105880995626065,2.39184647383669e-05,7.20111780228476e-05,0.51745483915699
"TCGA-HT-7856-01A-11R-2403-07",2.97004651943764e-07,0.105039334045179,0.000171031020589325,0.219529104231235,0.0906979627553972,0.000216591722850232,1.37163042301294e-06,2.49307332433951e-06,0.000123474314704548,0.000278220323362529,0.000139704477587909,7.6748169423302e-06,0.00201515897784855,0.000197111628175251,0.000134453428943233,0.581446016548786
"TCGA-HT-7874-01A-11R-2403-07",3.11729799449204e-05,0.0925763891326419,3.13683308798998e-05,0.195568922182289,0.132602086676804,0.000326952048132087,0.000326249493106861,1.01541544592978e-05,4.63315195330053e-05,2.72605051787961e-05,9.40568289290285e-05,1.1873831986088e-05,0.000566579495246479,1.44219494676311e-08,6.11726793578232e-06,0.577774471130984
"TCGA-HT-7875-01A-11R-2403-07",0.000386192413782756,0.327736743441933,1.87795292175966e-06,0.020309544565252,0.17716740885759,0.000205784037714395,0.00029154339386565,3.325508081546e-07,0.000238059406244352,2.62038641584854e-05,1.46994907560727e-05,4.33278760012031e-06,0.00227264521459569,2.44148946205114e-05,0.00032954961005334,0.470990667518104
"TCGA-HT-7877-01A-11R-2403-07",0.000633834513364712,0.189715044287391,3.39071067350636e-05,0.177416547924056,0.126463584887862,6.42700405533907e-05,2.66299763153194e-05,1.30874279863971e-07,0.000102707049087811,0.000169198108731818,1.07024891408462e-05,3.6628537229725e-05,0.0125792650313337,0.000182877017890053,1.61634538750612e-05,0.492548508702154
"TCGA-HT-8010-01A-11R-2403-07",9.1330269061213e-06,0.0629948429828854,1.97975758822809e-06,0.127231263507943,0.241793337593846,2.44439898632954e-05,6.55238846254696e-05,1.56955695077387e-05,5.04291352549954e-05,2.95235769668648e-05,0.0101056036405755,9.07876359755851e-08,0.00556945057983999,0.000106928193204431,5.96687940449497e-05,0.551942084979312
"TCGA-HT-8105-01A-11R-2404-07",2.1741641580168e-05,0.383536514780202,3.31970890258276e-06,0.0312828964207097,0.0689384054424768,3.82598537181539e-05,5.81999451428098e-05,6.34173883203096e-05,3.09955000708887e-05,0.000119308266247373,0.0286523118906987,3.80490677470147e-08,0.00576332861966107,6.36524705877777e-06,8.74137942079759e-06,0.481476155866722
"TCGA-HT-8109-01A-11R-2404-07",6.01319362672744e-05,0.139320222859857,9.66136547850668e-06,0.221110846282737,0.109327474725317,5.16787872515511e-05,5.36306103105144e-07,0.00017300632709709,0.00027255346136387,8.41033676729014e-06,7.60628858500441e-05,2.26302703290373e-08,0.0018758659877792,3.98900720489093e-06,1.49334087889616e-05,0.527694603691868
"TCGA-HT-A4DV-01A-11R-A26U-07",0.000139452095483364,5.56428483797421e-05,2.1731948932867e-05,0.500345881260559,0.0639498442064474,0.000148457561083051,7.98333055602723e-06,1.31712317989755e-06,0.00092902360917212,0.000120876929581376,8.43963417779609e-05,0.000347683662516663,6.05387396524663e-05,0.00035601964563264,0.000620010787499331,0.432811139909547
"TCGA-HT-A5R9-01A-11R-A28M-07",2.17262692399006e-05,0.676770034253136,1.81055290229056e-05,0.000251625615223751,0.000369440195893486,8.35256214565496e-05,5.58233178675988e-05,6.83155737171107e-07,0.000261878198630047,1.91084126223559e-05,0.0020793731198984,9.08684450891245e-05,0.00804987381869736,0.000189161084702054,2.0105257441273e-05,0.311718667705343
"TCGA-HT-A619-01A-11R-A29R-07",0.000302871681240066,0.669123549128668,8.57411947104918e-05,0.000934622653924199,9.02407490579946e-05,0.00173858237104879,0.000221831623443064,2.5068136157939e-06,4.25981404433966e-06,0.00187571249083,0.000251001067767217,0.00136281270319813,0.000358154295285604,4.70207524753569e-05,0.000419729030347016,0.323181363630344
"TCGA-HT-A74K-01A-11R-A32Q-07",0.000231646840587454,0.401059902269654,4.33808263275251e-05,0.173419061000864,0.0906198498480045,9.9713548030777e-05,0.0245684530172893,1.16285846989316e-05,1.97533302028553e-05,8.51367919055618e-07,0.0233671363488257,4.59634692988938e-06,0.00119667107413301,2.54403563007224e-06,6.13874468206847e-05,0.285293424114082
"TCGA-HW-7486-01A-11R-2027-07",0.00476730743540003,7.32043626273267e-05,2.24868670873318e-05,0.686131858886989,6.13133958168158e-05,0.000106820673293388,3.35514760248644e-05,2.39452440052983e-06,6.52111397745335e-06,1.81510926260066e-05,0.000602066992729691,0.00102091444179387,0.00171947657214464,2.54215287797149e-05,0.00139464314484112,0.304013867491468
"TCGA-HW-7487-01A-11R-2027-07",1.16629317557114e-05,0.255539778968194,3.27747228486339e-05,0.15324401015113,0.0968051040876872,1.69007330707302e-06,1.21907461327188e-06,1.10180051672897e-06,1.80100207959906e-05,5.00756188453936e-05,0.000689082288714586,1.51843219034117e-07,0.000632507023157195,6.40974996424406e-06,4.57928324118449e-05,0.492920628812839
"TCGA-HW-7491-01A-11R-2027-07",0.000990858359910378,0.499472614951482,0.000212574587218716,0.0431097046444796,3.96838722240949e-06,5.51038080167892e-07,2.19369788074156e-06,0.000970556807789738,0.000109451568702883,8.18462062403957e-05,0.00041519466635757,0.000107573135860945,0.00516800448224838,0.000113448910511832,0.000103177402805301,0.449138281153209
"TCGA-HW-7495-01A-11R-2027-07",6.3970014394871e-06,0.0672943378990919,0.000447155216208645,0.356385519809079,0.0909232344021958,3.38850315349371e-05,0.000555232287156733,2.28661552249552e-05,0.000133903596914104,3.77288739370166e-06,6.96914263199522e-05,1.14017828549417e-07,0.00389718716250406,0.000229087171966377,0.000344879307287638,0.479652736627855
